Feature,Importance
life_Retirement,0.11020408163265316
Risk_Capacity_log,0.026896912611198198
Wealth_log,0.02302459445316596
Investment_Capacity_log,0.015698587127158548
Wealth_Per_Family_Size_log,0.014547357404500194
Wealth_to_Income_log,0.013814756671899575
FamilyMembers,0.011930926216640492
Retirement_Readiness_log,0.0069073783359496765
Financial_Sophistication_Ratio,0.006802721088435382
FinancialEducation_Squared,0.006488749345892164
Wealth,0.00586080586080584
Wealth_Concentration_log,0.00512820512820511
risk_tolerance_log,0.003558346415489244
Wealth_Sqrt,0.00219780219780219
Financial_Independence_Score_log,0.0016745159602302717
Wealth_to_Income,0.00073260073260073
Age,0.0005232862375719183
Retirement_Readiness,0.0005232862375719183
Life_Stage_Adjusted_Income_log,0.00041862899005762344
Education_Risk_Profile,0.0003139717425432176
Age_Risk_Interaction,0.00010465724751429484
Age_Squared,0.0
Financial_Independence_Score,0.0
Gender,0.0
Wealth_Per_Family_Size,0.0
Risk_Capacity,0.0
is_retirement_age,0.0
