Feature,Importance
Wealth_Sqrt,0.12819346084578317
Wealth_log,0.11222991781716232
Wealth,0.09978254735846102
Financial_Independence_Score,0.08017081396708367
Risk_Capacity_log,0.07026728108357533
Financial_Independence_Score_log,0.06500637377806974
Wealth_to_Income_log,0.05780790872987744
Risk_Capacity,0.055900458051380386
Wealth_Concentration_log,0.05244426072510883
Wealth_Per_Family_Size,0.04681216749204657
Wealth_to_Income,0.046116671027637446
Wealth_Per_Family_Size_log,0.03419079903062517
Retirement_Readiness_log,0.03182728170036508
Retirement_Readiness,0.02509746158249699
Life_Stage_Adjusted_Income_log,0.021010397480964258
Investment_Capacity_log,0.0195743275544832
risk_tolerance_log,0.013640042633160411
Financial_Sophistication_Ratio,0.008851376565051085
Education_Risk_Profile,0.00759040660417899
Age_Risk_Interaction,0.006544439215985446
Age,0.00579823071500884
Age_Squared,0.005759618359510452
FinancialEducation_Squared,0.004520231158356911
FamilyMembers,0.0008635265236273922
life_Retirement,0.0
Gender,0.0
is_retirement_age,0.0
