Feature,Importance
life_Retirement,21.45688247680664
Wealth,14.28565502166748
Wealth_log,14.173955917358398
Wealth_Sqrt,12.065638542175293
Risk_Capacity,8.402783393859863
Age_Squared,6.378530502319336
Risk_Capacity_log,5.832185745239258
Age,5.377058506011963
Financial_Independence_Score,4.1068010330200195
Wealth_Concentration_log,2.8895652294158936
Life_Stage_Adjusted_Income_log,2.8338499069213867
Investment_Capacity_log,2.6255011558532715
risk_tolerance_log,2.6055448055267334
Financial_Independence_Score_log,2.449763059616089
Retirement_Readiness_log,2.339658260345459
FinancialEducation_Squared,2.3212411403656006
Wealth_to_Income_log,2.2313947677612305
Financial_Sophistication_Ratio,2.2283430099487305
Age_Risk_Interaction,2.224074125289917
Wealth_Per_Family_Size,2.1131622791290283
Education_Risk_Profile,2.0233314037323
Wealth_Per_Family_Size_log,2.0062129497528076
Gender,1.9221324920654297
FamilyMembers,1.1949602365493774
