Feature,Importance
Wealth_to_Income_log,0.16789710198092433
Life_Stage_Adjusted_Income_log,0.0577311078503302
Financial_Independence_Score_log,0.036615003668378665
Wealth_Concentration_log,0.03404713866471021
Wealth_to_Income,0.032556859867938326
Financial_Independence_Score,0.026412325752017574
Wealth_Per_Family_Size_log,0.025105465884079248
Retirement_Readiness_log,0.02029071900220114
Wealth_Sqrt,0.019740462215700694
Risk_Capacity,0.019717534849596485
Wealth_log,0.019167278063096038
Risk_Capacity_log,0.016049156272927356
Investment_Capacity_log,0.015177916360968546
Wealth,0.013939838591342735
Financial_Sophistication_Ratio,0.009537784299339713
Retirement_Readiness,0.00880410858400582
Age,0.008643617021276695
risk_tolerance_log,0.007932868672047011
FamilyMembers,0.00504402054292008
Wealth_Per_Family_Size,0.004837674247982315
FinancialEducation_Squared,0.0035308143800439895
is_retirement_age,0.0032098312545854046
Age_Risk_Interaction,0.0031869038884813072
Age_Squared,0.0023844460748349006
Education_Risk_Profile,0.0008024578136464067
life_Retirement,0.0
Gender,0.0
