Feature,Importance
Wealth,0.17565391807074976
Wealth_Sqrt,0.173438383596523
Risk_Capacity_log,0.10950281632046649
Wealth_log,0.10826387731920173
Risk_Capacity,0.10646748419083336
Wealth_Per_Family_Size_log,0.053000776166655945
Education_Risk_Profile,0.04492203498095364
Age_Risk_Interaction,0.04309258455925166
FinancialEducation_Squared,0.03963888629045131
Wealth_Per_Family_Size,0.03715379223345097
Investment_Capacity_log,0.03318357348474041
Financial_Sophistication_Ratio,0.02803589652421747
risk_tolerance_log,0.011321922891987687
Life_Stage_Adjusted_Income_log,0.0099933300113729
Wealth_to_Income,0.005680238020587046
Financial_Independence_Score,0.004001243777465637
Retirement_Readiness_log,0.0034232066642649844
Wealth_Concentration_log,0.002923210338590769
Financial_Independence_Score_log,0.002751111553683052
Age_Squared,0.002412010717832925
Retirement_Readiness,0.0023421563340653966
Age,0.0013811247100073306
Wealth_to_Income_log,0.0008107373750525376
FamilyMembers,0.00037910436596538
Gender,0.0002265795016286518
life_Retirement,0.0
is_retirement_age,0.0
