Feature,Importance
life_Retirement,0.2186458333333332
Wealth_to_Income_log,0.020109649122806994
is_retirement_age,0.01844298245614029
Risk_Capacity_log,0.011178728070175392
Wealth_Per_Family_Size_log,0.010476973684210522
Life_Stage_Adjusted_Income_log,0.006776315789473686
Investment_Capacity_log,0.004786184210526234
Wealth,0.00466557017543856
Wealth_log,0.0039199561403509
Wealth_Sqrt,0.0038651315789473006
Wealth_Concentration_log,0.0018804824561403644
Retirement_Readiness_log,0.0015515350877193246
FinancialEducation_Squared,0.000893640350877245
Risk_Capacity,0.0007456140350876606
Financial_Independence_Score,0.000734649122807074
AccumulationInvestment,0.0006688596491228882
FamilyMembers,0.0006359649122806843
Financial_Sophistication_Ratio,0.0006085526315789958
Wealth_Per_Family_Size,0.0005756578947369029
Financial_Independence_Score_log,0.0005646929824560942
Education_Risk_Profile,0.0005646929824560942
risk_tolerance_log,0.000455043859649118
Age_Risk_Interaction,0.00039473684210522553
Wealth_to_Income,0.00036184210526313265
Retirement_Readiness,0.0003453947368421417
Age,0.00013706140350877583
Age_Squared,4.38596491227905e-05
Gender,4.38596491227905e-05
