Feature,Importance
Wealth_log,139.39010620117188
Wealth_Sqrt,128.3531036376953
Wealth_to_Income_log,77.88275909423828
Financial_Independence_Score_log,71.28092956542969
is_retirement_age,15.521848678588867
Age_Squared,7.556207180023193
Retirement_Readiness,7.351048946380615
risk_tolerance_log,6.532634258270264
Retirement_Readiness_log,6.524996757507324
Wealth_Concentration_log,6.241011142730713
Age,6.078713893890381
Risk_Capacity_log,5.825991153717041
Age_Risk_Interaction,5.425213813781738
FamilyMembers,5.318019866943359
Education_Risk_Profile,4.971397399902344
Wealth_Per_Family_Size_log,4.681460380554199
Life_Stage_Adjusted_Income_log,4.650983810424805
Financial_Sophistication_Ratio,4.61076021194458
Investment_Capacity_log,4.579171657562256
FinancialEducation_Squared,4.080944538116455
Risk_Capacity,0.881866455078125
