Feature,Importance
Wealth_to_Income_log,0.18890526779511685
is_retirement_age,0.09871397346617194
Life_Stage_Adjusted_Income_log,0.08305799827174298
Wealth_Concentration_log,0.0825285077686847
Wealth,0.06503414154763731
Risk_Capacity_log,0.06498754638336812
Wealth_log,0.0507844931293312
Investment_Capacity_log,0.04423575458750573
Wealth_Sqrt,0.036687337975906065
Wealth_Per_Family_Size_log,0.03367559599451031
Wealth_to_Income,0.03357393381792306
Risk_Capacity,0.027391602704214035
Financial_Independence_Score_log,0.023390772463104947
Wealth_Per_Family_Size,0.018710076416069255
life_Retirement,0.018642301631677904
Financial_Independence_Score,0.01732492926006879
Age_Squared,0.016753079516765856
Retirement_Readiness_log,0.011758925091919448
Retirement_Readiness,0.006972330944272187
FinancialEducation_Squared,0.006120910215354436
FamilyMembers,0.005870990697910861
Financial_Sophistication_Ratio,0.004047425405377947
Age,0.00395635303885189
IncomeInvestment,0.0033124925871330646
Age_Risk_Interaction,0.002994798285298028
risk_tolerance_log,0.002579677730900176
Gender,0.0024949592504108775
Education_Risk_Profile,0.0004532438706179587
